Entry	Entry Name	Protein names	Gene Names	Organism	Length	Gene Ontology IDs	Gene Ontology (GO)	Function [CC]
A0A0R2NP91	A0A0R2NP91_9LACO	Serine--tRNA ligase (EC 6.1.1.11) (Seryl-tRNA synthetase) (SerRS) (Seryl-tRNA(Ser/Sec) synthetase)	serS DY78_GL000710	Lactiplantibacillus fabifermentans DSM 21115	425	GO:0004828; GO:0005524; GO:0005737; GO:0006434; GO:0016260; GO:0016740; GO:0140096	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; catalytic activity, acting on a protein [GO:0140096]; serine-tRNA ligase activity [GO:0004828]; transferase activity [GO:0016740]; L-selenocysteine biosynthetic process [GO:0016260]; seryl-tRNA aminoacylation [GO:0006434]	FUNCTION: Catalyzes the attachment of serine to tRNA(Ser). Is also able to aminoacylate tRNA(Sec) with serine, to form the misacylated tRNA L-seryl-tRNA(Sec), which will be further converted into selenocysteinyl-tRNA(Sec). {ECO:0000256|HAMAP-Rule:MF_00176}.
A0A0R2NPC8	A0A0R2NPC8_9LACO	CTP synthase (EC 6.3.4.2) (Cytidine 5'-triphosphate synthase) (Cytidine triphosphate synthetase) (CTP synthetase) (CTPS) (UTP--ammonia ligase)	pyrG DY78_GL001373	Lactiplantibacillus fabifermentans DSM 21115	536	GO:0003883; GO:0004359; GO:0005829; GO:0019856; GO:0042802; GO:0044210; GO:0097268	cytoophidium [GO:0097268]; cytosol [GO:0005829]; CTP synthase activity [GO:0003883]; glutaminase activity [GO:0004359]; identical protein binding [GO:0042802]; 'de novo' CTP biosynthetic process [GO:0044210]; pyrimidine nucleobase biosynthetic process [GO:0019856]	FUNCTION: Catalyzes the ATP-dependent amination of UTP to CTP with either L-glutamine or ammonia as the source of nitrogen. Regulates intracellular CTP levels through interactions with the four ribonucleotide triphosphates. {ECO:0000256|HAMAP-Rule:MF_01227}.
A0A0R2NPH2	A0A0R2NPH2_9LACO	ATP-dependent zinc metalloprotease FtsH (EC 3.4.24.-)	ftsH DY78_GL003074	Lactiplantibacillus fabifermentans DSM 21115	726	GO:0004176; GO:0004222; GO:0005524; GO:0005886; GO:0006508; GO:0008270; GO:0016887; GO:0030163	plasma membrane [GO:0005886]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATP-dependent peptidase activity [GO:0004176]; metalloendopeptidase activity [GO:0004222]; zinc ion binding [GO:0008270]; protein catabolic process [GO:0030163]; proteolysis [GO:0006508]	FUNCTION: Acts as a processive, ATP-dependent zinc metallopeptidase for both cytoplasmic and membrane proteins. Plays a role in the quality control of integral membrane proteins. {ECO:0000256|HAMAP-Rule:MF_01458}.
A0A0R2NRY2	A0A0R2NRY2_9LACO	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase (EC 6.3.2.13) (Meso-A2pm-adding enzyme) (Meso-diaminopimelate-adding enzyme) (UDP-MurNAc-L-Ala-D-Glu:meso-diaminopimelate ligase) (UDP-MurNAc-tripeptide synthetase) (UDP-N-acetylmuramyl-tripeptide synthetase)	murE DY78_GL000292	Lactiplantibacillus fabifermentans DSM 21115	493	GO:0000287; GO:0005524; GO:0005737; GO:0008360; GO:0008765; GO:0009252; GO:0051301	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; magnesium ion binding [GO:0000287]; UDP-N-acetylmuramoylalanyl-D-glutamate-2,6-diaminopimelate ligase activity [GO:0008765]; cell division [GO:0051301]; peptidoglycan biosynthetic process [GO:0009252]; regulation of cell shape [GO:0008360]	FUNCTION: Catalyzes the addition of meso-diaminopimelic acid to the nucleotide precursor UDP-N-acetylmuramoyl-L-alanyl-D-glutamate (UMAG) in the biosynthesis of bacterial cell-wall peptidoglycan. {ECO:0000256|ARBA:ARBA00056782, ECO:0000256|HAMAP-Rule:MF_00208}.
A0A0R2NSR3	A0A0R2NSR3_9LACO	Arginine biosynthesis bifunctional protein ArgJ [Cleaved into: Arginine biosynthesis bifunctional protein ArgJ alpha chain; Arginine biosynthesis bifunctional protein ArgJ beta chain] [Includes: Glutamate N-acetyltransferase (EC 2.3.1.35) (Ornithine acetyltransferase) (OATase) (Ornithine transacetylase); Amino-acid acetyltransferase (EC 2.3.1.1) (N-acetylglutamate synthase) (AGSase)]	argJ DY78_GL002156	Lactiplantibacillus fabifermentans DSM 21115	402	GO:0004042; GO:0004358; GO:0005737; GO:0006526; GO:0006592	cytoplasm [GO:0005737]; L-glutamate N-acetyltransferase activity, acting on acetyl-CoA as donor [GO:0004042]; L-glutamate N-acetyltransferase activity, acting on acetyl-L-ornithine as donor [GO:0004358]; L-arginine biosynthetic process [GO:0006526]; L-ornithine biosynthetic process [GO:0006592]	FUNCTION: Catalyzes two activities which are involved in the cyclic version of arginine biosynthesis: the synthesis of N-acetylglutamate from glutamate and acetyl-CoA as the acetyl donor, and of ornithine by transacetylation between N(2)-acetylornithine and glutamate. {ECO:0000256|HAMAP-Rule:MF_01106}.
A0A0R2NTC3	A0A0R2NTC3_9LACO	Coenzyme A biosynthesis bifunctional protein CoaBC (DNA/pantothenate metabolism flavoprotein) (Phosphopantothenoylcysteine synthetase/decarboxylase) (PPCS-PPCDC) [Includes: Phosphopantothenoylcysteine decarboxylase (PPC decarboxylase) (PPC-DC) (EC 4.1.1.36) (CoaC); Phosphopantothenate--cysteine ligase (EC 6.3.2.5) (CoaB) (Phosphopantothenoylcysteine synthetase) (PPC synthetase) (PPC-S)]	coaBC DY78_GL002961	Lactiplantibacillus fabifermentans DSM 21115	406	GO:0004632; GO:0004633; GO:0010181; GO:0015937; GO:0015941; GO:0071513	phosphopantothenoylcysteine decarboxylase complex [GO:0071513]; FMN binding [GO:0010181]; phosphopantothenate--cysteine ligase activity [GO:0004632]; phosphopantothenoylcysteine decarboxylase activity [GO:0004633]; coenzyme A biosynthetic process [GO:0015937]; pantothenate catabolic process [GO:0015941]	FUNCTION: Catalyzes two sequential steps in the biosynthesis of coenzyme A. In the first step cysteine is conjugated to 4'-phosphopantothenate to form 4-phosphopantothenoylcysteine. In the second step the latter compound is decarboxylated to form 4'-phosphopantotheine. {ECO:0000256|HAMAP-Rule:MF_02225}.; FUNCTION: Catalyzes two steps in the biosynthesis of coenzyme A. In the first step cysteine is conjugated to 4'-phosphopantothenate to form 4-phosphopantothenoylcysteine, in the latter compound is decarboxylated to form 4'-phosphopantotheine. {ECO:0000256|RuleBase:RU364078}.
A0A241RNA2	A0A241RNA2_LACPE	CTP synthase (EC 6.3.4.2) (Cytidine 5'-triphosphate synthase) (Cytidine triphosphate synthetase) (CTP synthetase) (CTPS) (UTP--ammonia ligase)	pyrG C6Y08_07040	Lactiplantibacillus pentosus (Lactobacillus pentosus)	537	GO:0003883; GO:0005829; GO:0019856; GO:0042802; GO:0044210; GO:0097268	cytoophidium [GO:0097268]; cytosol [GO:0005829]; CTP synthase activity [GO:0003883]; identical protein binding [GO:0042802]; 'de novo' CTP biosynthetic process [GO:0044210]; pyrimidine nucleobase biosynthetic process [GO:0019856]	FUNCTION: Catalyzes the ATP-dependent amination of UTP to CTP with either L-glutamine or ammonia as the source of nitrogen. Regulates intracellular CTP levels through interactions with the four ribonucleotide triphosphates. {ECO:0000256|HAMAP-Rule:MF_01227}.
A0A241RTD9	A0A241RTD9_LACPE	ATP-dependent 6-phosphofructokinase (ATP-PFK) (Phosphofructokinase) (EC 2.7.1.11) (Phosphohexokinase)	pfkA C6Y08_17065	Lactiplantibacillus pentosus (Lactobacillus pentosus)	320	GO:0003872; GO:0005524; GO:0005945; GO:0006002; GO:0016208; GO:0030388; GO:0042802; GO:0048029; GO:0061621; GO:0070095	6-phosphofructokinase complex [GO:0005945]; 6-phosphofructokinase activity [GO:0003872]; AMP binding [GO:0016208]; ATP binding [GO:0005524]; fructose-6-phosphate binding [GO:0070095]; identical protein binding [GO:0042802]; monosaccharide binding [GO:0048029]; canonical glycolysis [GO:0061621]; fructose 1,6-bisphosphate metabolic process [GO:0030388]; fructose 6-phosphate metabolic process [GO:0006002]	FUNCTION: Catalyzes the phosphorylation of D-fructose 6-phosphate to fructose 1,6-bisphosphate by ATP, the first committing step of glycolysis. {ECO:0000256|ARBA:ARBA00002659, ECO:0000256|HAMAP-Rule:MF_00339}.
A0A3M6L9T7	A0A3M6L9T7_LACPE	Coenzyme A biosynthesis bifunctional protein CoaBC (DNA/pantothenate metabolism flavoprotein) (Phosphopantothenoylcysteine synthetase/decarboxylase) (PPCS-PPCDC) [Includes: Phosphopantothenoylcysteine decarboxylase (PPC decarboxylase) (PPC-DC) (EC 4.1.1.36) (CoaC); Phosphopantothenate--cysteine ligase (EC 6.3.2.5) (CoaB) (Phosphopantothenoylcysteine synthetase) (PPC synthetase) (PPC-S)]	coaBC C6Y08_14945	Lactiplantibacillus pentosus (Lactobacillus pentosus)	406	GO:0004632; GO:0004633; GO:0010181; GO:0015937; GO:0015941; GO:0071513	phosphopantothenoylcysteine decarboxylase complex [GO:0071513]; FMN binding [GO:0010181]; phosphopantothenate--cysteine ligase activity [GO:0004632]; phosphopantothenoylcysteine decarboxylase activity [GO:0004633]; coenzyme A biosynthetic process [GO:0015937]; pantothenate catabolic process [GO:0015941]	FUNCTION: Catalyzes two sequential steps in the biosynthesis of coenzyme A. In the first step cysteine is conjugated to 4'-phosphopantothenate to form 4-phosphopantothenoylcysteine. In the second step the latter compound is decarboxylated to form 4'-phosphopantotheine. {ECO:0000256|HAMAP-Rule:MF_02225}.; FUNCTION: Catalyzes two steps in the biosynthesis of coenzyme A. In the first step cysteine is conjugated to 4'-phosphopantothenate to form 4-phosphopantothenoylcysteine, in the latter compound is decarboxylated to form 4'-phosphopantotheine. {ECO:0000256|RuleBase:RU364078}.
A0A3R8LKU2	A0A3R8LKU2_9LACO	ATP-dependent 6-phosphofructokinase (ATP-PFK) (Phosphofructokinase) (EC 2.7.1.11) (Phosphohexokinase)	pfkA D1831_04785	Lactiplantibacillus garii	320	GO:0003872; GO:0005524; GO:0005945; GO:0006002; GO:0016208; GO:0030388; GO:0042802; GO:0048029; GO:0061621; GO:0070095	6-phosphofructokinase complex [GO:0005945]; 6-phosphofructokinase activity [GO:0003872]; AMP binding [GO:0016208]; ATP binding [GO:0005524]; fructose-6-phosphate binding [GO:0070095]; identical protein binding [GO:0042802]; monosaccharide binding [GO:0048029]; canonical glycolysis [GO:0061621]; fructose 1,6-bisphosphate metabolic process [GO:0030388]; fructose 6-phosphate metabolic process [GO:0006002]	FUNCTION: Catalyzes the phosphorylation of D-fructose 6-phosphate to fructose 1,6-bisphosphate by ATP, the first committing step of glycolysis. {ECO:0000256|ARBA:ARBA00002659, ECO:0000256|HAMAP-Rule:MF_00339}.
A0A3R8QQX9	A0A3R8QQX9_9LACO	ATP-dependent zinc metalloprotease FtsH (EC 3.4.24.-)	hflB ftsH D1831_07750	Lactiplantibacillus garii	742	GO:0004176; GO:0004222; GO:0005524; GO:0005886; GO:0006508; GO:0008270; GO:0016887; GO:0030163	plasma membrane [GO:0005886]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATP-dependent peptidase activity [GO:0004176]; metalloendopeptidase activity [GO:0004222]; zinc ion binding [GO:0008270]; protein catabolic process [GO:0030163]; proteolysis [GO:0006508]	FUNCTION: Acts as a processive, ATP-dependent zinc metallopeptidase for both cytoplasmic and membrane proteins. Plays a role in the quality control of integral membrane proteins. {ECO:0000256|HAMAP-Rule:MF_01458}.
A0A3R8QRK4	A0A3R8QRK4_9LACO	Carbamoyl phosphate synthase large chain (EC 6.3.4.16) (EC 6.3.5.5) (Carbamoyl phosphate synthetase ammonia chain)	carB D1831_06300	Lactiplantibacillus garii	1058	GO:0004087; GO:0004088; GO:0005524; GO:0005737; GO:0006526; GO:0006541; GO:0044205; GO:0046872	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; carbamoyl-phosphate synthase (ammonia) activity [GO:0004087]; carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity [GO:0004088]; metal ion binding [GO:0046872]; 'de novo' UMP biosynthetic process [GO:0044205]; L-arginine biosynthetic process [GO:0006526]; L-glutamine metabolic process [GO:0006541]	FUNCTION: Large subunit of the glutamine-dependent carbamoyl phosphate synthetase (CPSase). CPSase catalyzes the formation of carbamoyl phosphate from the ammonia moiety of glutamine, carbonate, and phosphate donated by ATP, constituting the first step of 2 biosynthetic pathways, one leading to arginine and/or urea and the other to pyrimidine nucleotides. The large subunit (synthetase) binds the substrates ammonia (free or transferred from glutamine from the small subunit), hydrogencarbonate and ATP and carries out an ATP-coupled ligase reaction, activating hydrogencarbonate by forming carboxy phosphate which reacts with ammonia to form carbamoyl phosphate. {ECO:0000256|HAMAP-Rule:MF_01210}.; FUNCTION: Small subunit of the glutamine-dependent carbamoyl phosphate synthetase (CPSase). CPSase catalyzes the formation of carbamoyl phosphate from the ammonia moiety of glutamine, carbonate, and phosphate donated by ATP, constituting the first step of the biosynthetic pathway leading to pyrimidine nucleotides. The large subunit (synthetase) binds the substrates ammonia (free or transferred from glutamine from the small subunit), hydrogencarbonate and ATP and carries out an ATP-coupled ligase reaction, activating hydrogencarbonate by forming carboxy phosphate which reacts with ammonia to form carbamoyl phosphate. {ECO:0000256|ARBA:ARBA00060037}.
A0A426D6Y5	A0A426D6Y5_9LACO	CTP synthase (EC 6.3.4.2) (Cytidine 5'-triphosphate synthase) (Cytidine triphosphate synthetase) (CTP synthetase) (CTPS) (UTP--ammonia ligase)	pyrG D1831_07880	Lactiplantibacillus garii	536	GO:0003883; GO:0004359; GO:0005829; GO:0019856; GO:0042802; GO:0044210; GO:0097268	cytoophidium [GO:0097268]; cytosol [GO:0005829]; CTP synthase activity [GO:0003883]; glutaminase activity [GO:0004359]; identical protein binding [GO:0042802]; 'de novo' CTP biosynthetic process [GO:0044210]; pyrimidine nucleobase biosynthetic process [GO:0019856]	FUNCTION: Catalyzes the ATP-dependent amination of UTP to CTP with either L-glutamine or ammonia as the source of nitrogen. Regulates intracellular CTP levels through interactions with the four ribonucleotide triphosphates. {ECO:0000256|HAMAP-Rule:MF_01227}.
A0A426D707	A0A426D707_9LACO	Bifunctional protein GlmU [Includes: UDP-N-acetylglucosamine pyrophosphorylase (EC 2.7.7.23) (N-acetylglucosamine-1-phosphate uridyltransferase); Glucosamine-1-phosphate N-acetyltransferase (EC 2.3.1.157)]	glmU D1831_07935	Lactiplantibacillus garii	460	GO:0000287; GO:0000902; GO:0003977; GO:0005737; GO:0006048; GO:0009245; GO:0009252; GO:0019134	cytoplasm [GO:0005737]; glucosamine-1-phosphate N-acetyltransferase activity [GO:0019134]; magnesium ion binding [GO:0000287]; UDP-N-acetylglucosamine diphosphorylase activity [GO:0003977]; cell morphogenesis [GO:0000902]; lipid A biosynthetic process [GO:0009245]; peptidoglycan biosynthetic process [GO:0009252]; UDP-N-acetylglucosamine biosynthetic process [GO:0006048]	FUNCTION: Catalyzes the last two sequential reactions in the de novo biosynthetic pathway for UDP-N-acetylglucosamine (UDP-GlcNAc). The C-terminal domain catalyzes the transfer of acetyl group from acetyl coenzyme A to glucosamine-1-phosphate (GlcN-1-P) to produce N-acetylglucosamine-1-phosphate (GlcNAc-1-P), which is converted into UDP-GlcNAc by the transfer of uridine 5-monophosphate (from uridine 5-triphosphate), a reaction catalyzed by the N-terminal domain. {ECO:0000256|ARBA:ARBA00049628, ECO:0000256|HAMAP-Rule:MF_01631}.
A0A426D8Y2	A0A426D8Y2_9LACO	Coenzyme A biosynthesis bifunctional protein CoaBC (DNA/pantothenate metabolism flavoprotein) (Phosphopantothenoylcysteine synthetase/decarboxylase) (PPCS-PPCDC) [Includes: Phosphopantothenoylcysteine decarboxylase (PPC decarboxylase) (PPC-DC) (EC 4.1.1.36) (CoaC); Phosphopantothenate--cysteine ligase (EC 6.3.2.5) (CoaB) (Phosphopantothenoylcysteine synthetase) (PPC synthetase) (PPC-S)]	coaBC D1831_04290	Lactiplantibacillus garii	407	GO:0004632; GO:0004633; GO:0010181; GO:0015937; GO:0015941; GO:0071513	phosphopantothenoylcysteine decarboxylase complex [GO:0071513]; FMN binding [GO:0010181]; phosphopantothenate--cysteine ligase activity [GO:0004632]; phosphopantothenoylcysteine decarboxylase activity [GO:0004633]; coenzyme A biosynthetic process [GO:0015937]; pantothenate catabolic process [GO:0015941]	FUNCTION: Catalyzes two sequential steps in the biosynthesis of coenzyme A. In the first step cysteine is conjugated to 4'-phosphopantothenate to form 4-phosphopantothenoylcysteine. In the second step the latter compound is decarboxylated to form 4'-phosphopantotheine. {ECO:0000256|HAMAP-Rule:MF_02225}.; FUNCTION: Catalyzes two steps in the biosynthesis of coenzyme A. In the first step cysteine is conjugated to 4'-phosphopantothenate to form 4-phosphopantothenoylcysteine, in the latter compound is decarboxylated to form 4'-phosphopantotheine. {ECO:0000256|RuleBase:RU364078}.
A0A426DAL4	A0A426DAL4_9LACO	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase (EC 6.3.2.13) (Meso-A2pm-adding enzyme) (Meso-diaminopimelate-adding enzyme) (UDP-MurNAc-L-Ala-D-Glu:meso-diaminopimelate ligase) (UDP-MurNAc-tripeptide synthetase) (UDP-N-acetylmuramyl-tripeptide synthetase)	murE D1831_00875	Lactiplantibacillus garii	493	GO:0000287; GO:0005524; GO:0005737; GO:0008360; GO:0008765; GO:0009252; GO:0051301	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; magnesium ion binding [GO:0000287]; UDP-N-acetylmuramoylalanyl-D-glutamate-2,6-diaminopimelate ligase activity [GO:0008765]; cell division [GO:0051301]; peptidoglycan biosynthetic process [GO:0009252]; regulation of cell shape [GO:0008360]	FUNCTION: Catalyzes the addition of meso-diaminopimelic acid to the nucleotide precursor UDP-N-acetylmuramoyl-L-alanyl-D-glutamate (UMAG) in the biosynthesis of bacterial cell-wall peptidoglycan. {ECO:0000256|ARBA:ARBA00056782, ECO:0000256|HAMAP-Rule:MF_00208}.
A0A660DVH3	A0A660DVH3_9LACO	Multifunctional fusion protein [Includes: GTP cyclohydrolase-2 (EC 3.5.4.25) (GTP cyclohydrolase II); 3,4-dihydroxy-2-butanone 4-phosphate synthase (DHBP synthase) (EC 4.1.99.12)]	ribB ribA MUDAN_MDHGFNIF_02223	Lactiplantibacillus mudanjiangensis	402	GO:0000287; GO:0003935; GO:0005829; GO:0008270; GO:0008686; GO:0009231; GO:0030145	cytosol [GO:0005829]; 3,4-dihydroxy-2-butanone-4-phosphate synthase activity [GO:0008686]; GTP cyclohydrolase II activity [GO:0003935]; magnesium ion binding [GO:0000287]; manganese ion binding [GO:0030145]; zinc ion binding [GO:0008270]; riboflavin biosynthetic process [GO:0009231]	FUNCTION: Catalyzes the conversion of D-ribulose 5-phosphate to formate and 3,4-dihydroxy-2-butanone 4-phosphate. {ECO:0000256|ARBA:ARBA00002284, ECO:0000256|HAMAP-Rule:MF_00180}.; FUNCTION: Catalyzes the conversion of GTP to 2,5-diamino-6-ribosylamino-4(3H)-pyrimidinone 5'-phosphate (DARP), formate and pyrophosphate. {ECO:0000256|HAMAP-Rule:MF_00179}.
